id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,packet span,67,32,29,95,148,watch,baseline,monotonic-signal,raise-signal
m002,g002,retry pressure,51,14,19,66,101,hold,edge,drag-penalty,drop-slack
m003,g003,route drift,51,59,44,28,28,hold,recovery,confidence-floor,raise-drag
m004,g004,socket risk,54,43,5,72,241,ship,negative,lane-boundary,lower-confidence
m005,g005,packet span,68,73,33,75,192,ship,baseline,monotonic-signal,raise-signal
m006,g006,retry pressure,109,44,6,74,350,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,50,49,22,35,123,watch,recovery,confidence-floor,raise-drag
m008,g008,socket risk,68,13,42,50,2,hold,negative,lane-boundary,lower-confidence
m009,g009,packet span,89,33,15,82,251,ship,baseline,monotonic-signal,raise-signal
m010,g010,retry pressure,90,34,45,96,119,watch,edge,drag-penalty,drop-slack
m011,g011,route drift,54,19,48,64,-30,hold,recovery,confidence-floor,raise-drag
m012,g012,socket risk,40,8,40,83,-21,hold,negative,lane-boundary,lower-confidence
m013,g013,packet span,45,75,38,30,80,hold,baseline,monotonic-signal,raise-signal
m014,g014,retry pressure,38,65,21,88,189,ship,edge,drag-penalty,drop-slack
m015,g015,route drift,86,9,42,78,58,hold,recovery,confidence-floor,raise-drag
m016,g016,socket risk,70,13,22,65,121,watch,negative,lane-boundary,lower-confidence
m017,g017,packet span,118,53,17,82,339,ship,baseline,monotonic-signal,raise-signal
m018,g018,retry pressure,44,29,37,46,7,hold,edge,drag-penalty,drop-slack
m019,g019,route drift,103,36,35,75,178,watch,recovery,confidence-floor,raise-drag
m020,g020,socket risk,48,72,4,81,301,ship,negative,lane-boundary,lower-confidence
m021,g021,packet span,121,22,14,65,281,ship,baseline,monotonic-signal,raise-signal
m022,g022,retry pressure,60,24,42,27,-15,hold,edge,drag-penalty,drop-slack
m023,g023,route drift,37,9,43,84,-39,hold,recovery,confidence-floor,raise-drag
m024,g024,socket risk,73,68,14,61,273,ship,negative,lane-boundary,lower-confidence
m025,g025,packet span,104,14,4,73,289,ship,baseline,monotonic-signal,raise-signal
m026,g026,retry pressure,65,30,22,34,114,hold,edge,drag-penalty,drop-slack
m027,g027,route drift,98,57,39,62,177,watch,recovery,confidence-floor,raise-drag
m028,g028,socket risk,74,32,18,68,190,ship,negative,lane-boundary,lower-confidence
m029,g029,packet span,118,57,33,95,280,ship,baseline,monotonic-signal,raise-signal
m030,g030,retry pressure,42,26,42,63,-11,hold,edge,drag-penalty,drop-slack
m031,g031,route drift,56,30,34,95,97,hold,recovery,confidence-floor,raise-drag
m032,g032,socket risk,99,64,42,16,132,watch,negative,lane-boundary,lower-confidence
m033,g033,packet span,101,48,30,87,235,ship,baseline,monotonic-signal,raise-signal
m034,g034,retry pressure,92,0,26,77,131,watch,edge,drag-penalty,drop-slack
m035,g035,route drift,95,60,32,77,227,ship,recovery,confidence-floor,raise-drag
m036,g036,socket risk,100,54,23,68,261,ship,negative,lane-boundary,lower-confidence
m037,g037,packet span,71,18,6,45,193,ship,baseline,monotonic-signal,raise-signal
m038,g038,retry pressure,91,27,20,74,210,ship,edge,drag-penalty,drop-slack
m039,g039,route drift,109,50,14,93,341,ship,recovery,confidence-floor,raise-drag
m040,g040,socket risk,33,24,44,51,-55,hold,negative,lane-boundary,lower-confidence
m041,g041,packet span,52,13,22,26,46,hold,baseline,monotonic-signal,raise-signal
m042,g042,retry pressure,95,0,13,83,208,ship,edge,drag-penalty,drop-slack
m043,g043,route drift,81,11,38,73,67,hold,recovery,confidence-floor,raise-drag
m044,g044,socket risk,77,14,41,59,36,hold,negative,lane-boundary,lower-confidence
m045,g045,packet span,88,18,27,33,110,hold,baseline,monotonic-signal,raise-signal
m046,g046,retry pressure,39,47,21,61,128,watch,edge,drag-penalty,drop-slack
m047,g047,route drift,111,45,48,80,152,watch,recovery,confidence-floor,raise-drag
m048,g048,socket risk,62,41,31,81,132,watch,negative,lane-boundary,lower-confidence
m049,g049,packet span,94,77,7,62,369,ship,baseline,monotonic-signal,raise-signal
m050,g050,retry pressure,56,16,17,94,153,watch,edge,drag-penalty,drop-slack
m051,g051,route drift,89,40,52,28,26,hold,recovery,confidence-floor,raise-drag
m052,g052,socket risk,65,14,18,73,141,watch,negative,lane-boundary,lower-confidence
m053,g053,packet span,110,73,27,76,307,ship,baseline,monotonic-signal,raise-signal
m054,g054,retry pressure,78,8,12,76,188,watch,edge,drag-penalty,drop-slack
m055,g055,route drift,114,46,34,80,230,ship,recovery,confidence-floor,raise-drag
m056,g056,socket risk,48,62,15,31,176,watch,negative,lane-boundary,lower-confidence
m057,g057,packet span,115,37,11,73,322,ship,baseline,monotonic-signal,raise-signal
m058,g058,retry pressure,51,51,10,92,246,ship,edge,drag-penalty,drop-slack
m059,g059,route drift,115,42,15,63,302,ship,recovery,confidence-floor,raise-drag
m060,g060,socket risk,62,35,33,12,41,hold,negative,lane-boundary,lower-confidence
m061,g061,packet span,92,69,5,82,379,ship,baseline,monotonic-signal,raise-signal
m062,g062,retry pressure,97,42,34,72,180,watch,edge,drag-penalty,drop-slack
m063,g063,route drift,52,13,36,71,21,hold,recovery,confidence-floor,raise-drag
m064,g064,socket risk,45,65,7,19,204,ship,negative,lane-boundary,lower-confidence
m065,g065,packet span,54,59,40,60,86,hold,baseline,monotonic-signal,raise-signal
m066,g066,retry pressure,48,12,16,79,119,watch,edge,drag-penalty,drop-slack
m067,g067,route drift,53,43,33,93,120,watch,recovery,confidence-floor,raise-drag
m068,g068,socket risk,103,55,12,48,304,ship,negative,lane-boundary,lower-confidence
m069,g069,packet span,53,29,6,93,227,ship,baseline,monotonic-signal,raise-signal
m070,g070,retry pressure,62,7,26,27,35,hold,edge,drag-penalty,drop-slack
m071,g071,route drift,74,15,23,85,148,watch,recovery,confidence-floor,raise-drag
m072,g072,socket risk,84,16,34,62,92,hold,negative,lane-boundary,lower-confidence
m073,g073,packet span,57,19,44,75,7,hold,baseline,monotonic-signal,raise-signal
m074,g074,retry pressure,34,12,30,79,21,hold,edge,drag-penalty,drop-slack
m075,g075,route drift,30,63,52,43,-31,hold,recovery,confidence-floor,raise-drag
m076,g076,socket risk,32,50,12,59,163,watch,negative,lane-boundary,lower-confidence
m077,g077,packet span,89,46,39,91,166,watch,baseline,monotonic-signal,raise-signal
m078,g078,retry pressure,64,1,12,62,132,watch,edge,drag-penalty,drop-slack
m079,g079,route drift,103,32,49,24,49,hold,recovery,confidence-floor,raise-drag
m080,g080,socket risk,38,45,38,68,44,hold,negative,lane-boundary,lower-confidence
m081,g081,packet span,106,19,37,71,136,watch,baseline,monotonic-signal,raise-signal
m082,g082,retry pressure,42,0,35,70,-21,hold,edge,drag-penalty,drop-slack
m083,g083,route drift,106,24,25,31,166,watch,recovery,confidence-floor,raise-drag
m084,g084,socket risk,54,51,32,46,96,hold,negative,lane-boundary,lower-confidence
m085,g085,packet span,40,67,19,78,197,ship,baseline,monotonic-signal,raise-signal
m086,g086,retry pressure,67,31,14,92,218,ship,edge,drag-penalty,drop-slack
m087,g087,route drift,89,67,41,60,167,watch,recovery,confidence-floor,raise-drag
m088,g088,socket risk,59,47,25,79,166,watch,negative,lane-boundary,lower-confidence
m089,g089,packet span,101,40,43,26,93,hold,baseline,monotonic-signal,raise-signal
m090,g090,retry pressure,68,63,11,84,291,ship,edge,drag-penalty,drop-slack
m091,g091,route drift,103,58,46,74,166,watch,recovery,confidence-floor,raise-drag
m092,g092,socket risk,36,18,33,61,4,hold,negative,lane-boundary,lower-confidence
m093,g093,packet span,59,70,11,78,281,ship,baseline,monotonic-signal,raise-signal
m094,g094,retry pressure,93,53,43,42,119,watch,edge,drag-penalty,drop-slack
m095,g095,route drift,86,28,26,71,169,watch,recovery,confidence-floor,raise-drag
m096,g096,socket risk,86,48,29,77,200,ship,negative,lane-boundary,lower-confidence
